Rank,Previous Rank,Name,Country,Earnings
1,1,Novak Djokovic,Serbia,10304364
2,2,Andy Murray,Great Britain,5440563
3,3,Roger Federer,Switzerland,3804034
4,4,Stanislas Wawrinka,Switzerland,3800755
5,5,Kei Nishikori,Japan,2500756
6,6,Tomas Berdych,Czech Republic,2329479
7,7,Rafael Nadal,Spain,2297418
8,8,David Ferrer,Spain,1942725
9,9,Richard Gasquet,France,1359410
10,12,John Isner,USA,1246205
11,10,Fabio Fognini,Italy,1204043
12,11,Gilles Simon,France,1193119
13,13,Milos Raonic,Canada,1093943
14,14,Kevin Anderson,South Africa,1077429
15,15,Simone Bolelli,Italy,974298
16,16,Vasek Pospisil,Canada,971679
17,17,Gael Monfils,France,896939
18,23,Jo-Wilfried Tsonga,France,896556
19,18,Marin Cilic,Croatia,893244
20,20,Jack Sock,USA,870897
21,22,Bernard Tomic,Australia,860590
22,19,Viktor Troicki,Serbia,857795
23,24,Nick Kyrgios,Australia,840484
24,21,Andreas Seppi,Italy,835646
25,28,Ivo Karlovic,Croatia,804292
26,30,David Goffin,Belgium,799718
27,25,Dominic Thiem,Austria,791617
28,29,Roberto Bautista Agut,Spain,782663
29,38,Jeremy Chardy,France,780339
30,27,Feliciano Lopez,Spain,779438
31,26,Pablo Cuevas,Uruguay,779401
32,31,Grigor Dimitrov,Bulgaria,759424
33,32,Guillermo Garcia-Lopez,Spain,732967
34,33,Ivan Dodig,Croatia,732302
35,34,Pablo Andujar,Spain,712998
36,49,Bob Bryan,USA,656265
36,49,Mike Bryan,USA,656265
38,35,Fernando Verdasco,Spain,644586
39,36,Leonardo Mayer,Argentina,639065
40,37,Martin Klizan,Slovakia,624327
41,42,Gilles Muller,Luxembourg,621834
42,40,Adrian Mannarino,France,613173
43,41,Steve Johnson,USA,610710
44,39,Juan Monaco,Argentina,605772
45,43,Nicolas Mahut,France,596187
46,44,Lukas Rosol,Czech Republic,590708
47,48,Jean-Julien Rojer,Netherlands,566959
48,45,Marcel Granollers,Spain,565755
49,51,Horia Tecau,Romania,563198
50,46,Philipp Kohlschreiber,Germany,557504
51,47,Santiago Giraldo,Colombia,556002
52,53,Joao Sousa,Portugal,551285
53,52,Marcelo Melo,Brazil,550501
54,55,Thomaz Bellucci,Brazil,521438
55,56,Sam Querrey,USA,513088
56,54,Jiri Vesely,Czech Republic,505239
57,57,Borna Coric,Croatia,498821
58,60,Sergiy Stakhovsky,Ukraine,479390
59,61,Tommy Robredo,Spain,475762
60,58,Marcos Baghdatis,Cyprus,472979
61,59,Sam Groth,Australia,468638
62,63,Alexandr Dolgopolov,Ukraine,447495
63,80,Ernests Gulbis,Latvia,442735
64,62,Benoit Paire,France,436431
65,67,Jerzy Janowicz,Poland,430167
66,65,Rohan Bopanna,India,425728
67,76,Donald Young,USA,420960
68,64,Andreas Haider-Maurer,Austria,419886
69,66,Teymuraz Gabashvili,Russia,418673
70,71,Benjamin Becker,Germany,413193
71,70,Florin Mergea,Romania,407837
72,68,Victor Estrella Burgos,Dominican Republic,407505
73,69,Denis Istomin,Uzbekistan,406654
74,72,Thanasi Kokkinakis,Australia,399695
75,73,Albert Ramos,Spain,398017
76,74,Robin Haase,Netherlands,384076
77,77,John Peers,Australia,383404
78,85,Edouard Roger-Vasselin,France,380838
79,75,Nicolas Almagro,Spain,378130
80,79,Jamie Murray,Scotland,375473
81,78,Pablo Carreno Busta ,Spain,369645
82,83,Denis Kudla,United States,349510
83,81,Dusan Lajovic,Serbia,342392
84,82,Dustin Brown,Germany,337714
85,88,Yen-Hsun Lu,Chinese Taipei,335075
86,86,Pierre-Hugues Herbert,France,333372
87,89,Nenad Zimonjic,Serbia,331585
88,84,Diego Schwartzman,Argentina,328537
89,87,Jarkko Nieminen,Finland,322812
90,90,Malek Jaziri,Tunisia,321519
91,102,Mikhail Youzhny,Russia,321244
92,91,Richard Berankis,Lithuania,317675
93,92,Federico Delbonis,Argentina,314557
94,93,Mikhail Kukushkin,Kazakhstan,309224
95,94,Daniel Gimeno-Traver,Spain,303725
96,99,Marcin Matkowski,Poland,298784
97,95,Aljaz Bedene,Slovenia,295601
98,96,Lucas Pouille,France,291932
99,97,Alexander Zverev,Germany,290326
100,98,Joao Souza,Brazil,286495
